no,title,average,inst,hall_of_fame,debut,date,initial,r2005,r2006#1,r2006#2,r2007,r2008,r2009,r2010,r2011,r2012,r2013,r2014,r2015,r2016,r2017,r2018,r2019u,r2019,remarks
1,桜の花は狂い咲き,121.462,False,False,SOME GIRLS -REBEL STREEL IV,1997-04-25,r2005,,,,86.0,126.0,116.0,109.0,96.0,123.0,68.0,169.0,165.0,100.0,134.0,164.0,64.0,123.0,
2,青蛾月,80.923,False,False,幻想庭園,1988-01-25,r2005,,,,84.0,77.0,73.0,82.0,72.0,57.0,54.0,87.0,81.0,59.0,146.0,126.0,22.0,54.0,
3,マリーゴールド・ガーデン,171.769,False,False,幻想庭園,1988-01-25,r2005,,,,141.0,162.0,142.0,150.0,175.0,141.0,218.0,141.0,238.0,190.0,155.0,164.0,128.0,216.0,
4,鏡面界 im Juni,201.077,False,False,幻想庭園,1988-01-25,r2005,,,,165.0,185.0,181.0,171.0,204.0,131.0,174.0,194.0,253.0,244.0,202.0,250.0,150.0,260.0,
5,アンジェ・ノワールの祭戯,125.615,False,False,幻想庭園,1988-01-25,r2005,,,,109.0,131.0,111.0,93.0,81.0,96.0,150.0,106.0,156.0,244.0,187.0,63.0,,106.0,
6,紅い睡蓮の午後,188.769,False,False,幻想庭園,1988-01-25,r2005,,,,144.0,176.0,153.0,164.0,188.0,204.0,136.0,190.0,183.0,244.0,237.0,209.0,152.0,226.0,
7,少女忌恋歌,166.846,False,False,幻想庭園,1988-01-25,r2005,,,,144.0,109.0,132.0,179.0,204.0,160.0,218.0,204.0,130.0,130.0,146.0,221.0,100.0,192.0,
8,パラソルのある風景,178.769,False,False,幻想庭園,1988-01-25,r2005,,,,187.0,167.0,178.0,179.0,175.0,160.0,168.0,156.0,200.0,189.0,130.0,175.0,109.0,260.0,
9,硝子天井のうちゅう,144.923,False,False,幻想庭園,1988-01-25,r2005,,,,153.0,109.0,148.0,118.0,113.0,144.0,136.0,204.0,158.0,174.0,213.0,56.0,,158.0,
10,幻想庭園,139.385,False,False,幻想庭園,1988-01-25,r2005,,,,106.0,131.0,164.0,140.0,135.0,185.0,127.0,111.0,130.0,128.0,176.0,154.0,65.0,125.0,
11,Poupeé Frou Frou,204.833,True,False,幻想庭園,1988-01-25,r2005,,,,187.0,208.0,202.0,192.0,223.0,217.0,,,,,,,,,
12,フラワーチャイルド,207.538,False,False,フラワーチャイルド,1988-07-25,r2005,,,,187.0,197.0,221.0,214.0,223.0,217.0,133.0,156.0,253.0,244.0,237.0,156.0,165.0,260.0,
13,恋せよ乙女 -Love story of ZIPANG-,86.214,False,False,恋せよ乙女 -Love story of ZIPANG-,1992-07-07,r2005,,13.0,,36.0,48.0,58.0,74.0,87.0,71.0,123.0,76.0,93.0,225.0,113.0,58.0,,132.0,
14,共月亭で逢いましょう,41.500,False,False,恋せよ乙女 -Love story of ZIPANG-,1992-07-07,r2005,13.0,,,38.0,49.0,55.0,58.0,44.0,49.0,50.0,54.0,31.0,52.0,20.0,24.0,,44.0,
15,メガロポリス・アリス -MEGALOPOLIS ALICE-,130.538,False,False,月下の一群,1992-12-09,r2005,,,,49.0,59.0,72.0,128.0,158.0,89.0,129.0,156.0,150.0,201.0,219.0,209.0,45.0,78.0,
16,ビアンカ,135.231,False,False,月下の一群,1992-12-09,r2005,,,,64.0,82.0,139.0,150.0,135.0,113.0,101.0,117.0,204.0,160.0,139.0,221.0,35.0,133.0,
17,薔薇色翠星歌劇団,87.000,False,False,月下の一群,1992-12-09,r2005,,,,88.0,107.0,94.0,74.0,143.0,87.0,102.0,131.0,34.0,122.0,54.0,43.0,,52.0,
18,マダム・ノワール -Madame Noir,90.286,False,False,月下の一群,1992-12-09,r2005,19.0,,,94.0,86.0,87.0,93.0,131.0,106.0,105.0,25.0,114.0,104.0,121.0,110.0,9.0,69.0,
19,空宙舞踏会,179.615,False,False,月下の一群,1992-12-09,r2005,,,,136.0,154.0,137.0,140.0,175.0,217.0,218.0,173.0,253.0,244.0,155.0,186.0,136.0,147.0,
20,木洩れ陽のワルツ,209.769,False,False,月下の一群,1992-12-09,r2005,,,,168.0,171.0,183.0,192.0,223.0,217.0,218.0,223.0,213.0,190.0,219.0,250.0,131.0,260.0,
21,堕ちて候,149.000,False,False,月下の一群,1992-12-09,r2005,,,,101.0,100.0,77.0,89.0,109.0,136.0,129.0,223.0,200.0,180.0,202.0,200.0,121.0,191.0,
22,月光浴,181.462,False,False,月下の一群,1992-12-09,r2005,,,,187.0,161.0,176.0,171.0,175.0,119.0,168.0,223.0,162.0,201.0,187.0,250.0,179.0,179.0,
23,楽園喪失 -Paradise Lost-,192.000,False,False,月下の一群,1992-12-09,r2005,,,,117.0,145.0,134.0,179.0,158.0,147.0,196.0,204.0,243.0,244.0,219.0,250.0,128.0,260.0,
24,嵐ヶ丘,31.188,False,False,嵐ヶ丘,1993-06-09,r2005,15.0,2.0,13.0,19.0,30.0,34.0,52.0,51.0,49.0,18.0,38.0,35.0,29.0,32.0,53.0,,29.0,
25,舞踏会の手帖,180.154,False,False,嵐ヶ丘,1993-06-09,r2005,,,,92.0,137.0,174.0,171.0,223.0,153.0,196.0,223.0,198.0,180.0,219.0,184.0,112.0,192.0,
26,ヴェネツィアン・ラプソディー,53.786,False,False,ヴェネツィアン・ラプソディー,1994-01-19,r2005,,15.0,,35.0,54.0,49.0,118.0,111.0,63.0,33.0,46.0,16.0,18.0,63.0,41.0,,91.0,
27,エスカルゴ嬉遊曲,160.769,False,False,ヴェネツィアン・ラプソディー,1994-01-19,r2005,,,,56.0,66.0,91.0,109.0,155.0,194.0,161.0,188.0,215.0,216.0,213.0,200.0,76.0,226.0,
28,サロメティック・ルナティック,113.923,False,False,DALI,1994-02-16,r2005,,,,63.0,102.0,68.0,125.0,169.0,190.0,166.0,95.0,126.0,79.0,127.0,62.0,,109.0,
29,雪のひとひら,153.769,False,False,DALI,1994-02-16,r2005,,,,87.0,162.0,127.0,109.0,188.0,118.0,166.0,204.0,143.0,244.0,118.0,192.0,115.0,141.0,
30,ダリの宝石店,140.154,False,False,DALI,1994-02-16,r2005,,,,99.0,124.0,113.0,179.0,211.0,114.0,141.0,204.0,183.0,106.0,121.0,68.0,,159.0,
